Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Trust..Government.Corruption.,Dystopia.Residual,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Health (Life Expectancy),Trust (Government Corruption),Dystopia Residual,Standard Error
,,,,,,,0.572123110294342,,2017,Thailand,32.0,6.42399978637695,6.50911685571074,6.33888271704316,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.0316127352416515,2.03950834274292,,,,,,,,,,
,,,,,,,0.258360475301743,,2017,Taiwan Province of China,33.0,6.42199993133545,6.49459602192044,6.34940384075046,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.0638292357325554,2.1266074180603,,,,,,,,,,
,,,,,,,0.190133571624756,,2017,Spain,34.0,6.40299987792969,6.4710548453033,6.33494491055608,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,1.92775774002075,,,,,,,,,,
,,,,,,,0.330473870038986,,2017,Qatar,35.0,6.375,6.56847681432962,6.18152318567038,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.439299255609512,1.1454644203186,,,,,,,,,,
,,,,,,,0.149014472961426,,2017,Colombia,36.0,6.35699987411499,6.45202005416155,6.26197969406843,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.0466687418520451,2.61606812477112,,,,,,,,,,
,,,,,,,0.147616013884544,,2017,Saudi Arabia,37.0,6.3439998626709,6.44416661202908,6.24383311331272,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.27343225479126,2.0654296875,,,,,,,,,,
,,,,,,,0.325296461582184,,2017,Trinidad and Tobago,38.0,6.16800022125244,6.38153389066458,5.95446655184031,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.0089648161083459,2.05324745178223,,,,,,,,,,
,,,,,,,0.228289797902107,,2017,Kuwait,39.0,6.10500001907349,6.1919569888711,6.01804304927588,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.215159550309181,1.64042520523071,,,,,,,,,,
,,,,,,,0.136544480919838,,2017,Slovakia,40.0,6.09800004959106,6.1773484121263,6.01865168705583,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.0242108516395092,2.09777665138245,,,,,,,,,,
,,,,,,,0.172668486833572,,2017,Bahrain,41.0,6.08699989318848,6.17898906782269,5.99501071855426,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.257042169570923,1.65614938735962,,,,,,,,,,
,,,,,,,0.416608929634094,,2017,Malaysia,42.0,6.08400011062622,6.17997963652015,5.98802058473229,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.0656007081270218,2.00444889068604,,,,,,,,,,
,,,,,,,0.301674216985703,,2017,Nicaragua,43.0,6.07100009918213,6.18658360034227,5.95541659802198,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.130687981843948,2.51393055915833,,,,,,,,,,
,,,,,,,0.150112465023994,,2017,Ecuador,44.0,6.00799989700317,6.10584767535329,5.91015211865306,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.140134647488594,2.29035258293152,,,,,,,,,,
,,,,,,,0.0782579854130745,,2017,El Salvador,45.0,6.00299978256226,6.108635122329,5.89736444279552,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0899809598922729,2.7145938873291,,,,,,,,,,
,,,,,,,0.158465966582298,,2017,Poland,46.0,5.97300004959106,6.05390834122896,5.89209175795317,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.0593078061938286,1.79772281646729,,,,,,,,,,
,,,,,,,0.415983647108078,,2017,Uzbekistan,47.0,5.97100019454956,6.06553757295012,5.876462816149,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.246528223156929,1.81691360473633,,,,,,,,,,
,,,,,,,0.17278964817524,,2017,Italy,48.0,5.96400022506714,6.04273690596223,5.88526354417205,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.0280280914157629,1.81331205368042,,,,,,,,,,
,,,,,,,0.0522638224065304,,2017,Russia,49.0,5.96299982070923,6.03027490749955,5.89572473391891,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0329628810286522,2.20560741424561,,,,,,,,,,
,,,,,,,0.240015640854836,,2017,Belize,50.0,5.95599985122681,6.19724231779575,5.71475738465786,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.0965810716152191,2.63195562362671,,,,,,,,,,
,,,,,,,0.12057276815176,,2017,Japan,51.0,5.92000007629395,5.99071944460273,5.84928070798516,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,1.36322355270386,,,,,,,,,,
,,,,,,,0.010164656676352,,2017,Lithuania,52.0,5.90199995040894,5.98266964137554,5.82133025944233,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.0118656428530812,2.22844052314758,,,,,,,,,,
,,,,,,,0.0694366469979286,,2017,Algeria,53.0,5.87200021743774,5.97828643366694,5.76571400120854,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.146096110343933,2.56760382652283,,,,,,,,,,
,,,,,,,0.153074786067009,,2017,Latvia,54.0,5.84999990463257,5.92026353821158,5.77973627105355,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.0738427266478539,1.99365520477295,,,,,,,,,,
,,,,,,,0.206674367189407,,2017,South Korea,55.0,5.83799982070923,5.92255902826786,5.7534406131506,1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,0.0632826685905457,1.88037800788879,,,,,,,,,,
,,,,,,,0.208779126405716,,2017,Moldova,56.0,5.83799982070923,5.90837083846331,5.76762880295515,0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,0.0100912861526012,2.80780839920044,,,,,,,,,,
,,,,,,,0.133519917726517,,2017,Romania,57.0,5.82499980926514,5.91969415679574,5.73030546173453,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.00438790069893,2.17683148384094,,,,,,,,,,
,,,,,,,0.22556072473526,,2017,Bolivia,58.0,5.82299995422363,5.9039769025147,5.74202300593257,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.0604777261614799,2.44327902793884,,,,,,,,,,
,,,,,,,0.24992498755455,,2017,Turkmenistan,59.0,5.82200002670288,5.88518087550998,5.75881917789578,1.13077676296234,1.49314916133881,0.437726080417633,0.41827192902565,0.259270340204239,1.83290982246399,,,,,,,,,,
,,,,,,,0.201964423060417,,2017,Kazakhstan,60.0,5.81899976730347,5.90364177465439,5.73435775995255,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.119282886385918,1.78489255905151,,,,,,,,,,
,,,,,,,0.266845703125,,2017,North Cyprus,61.0,5.80999994277954,5.89736646488309,5.72263342067599,1.3469113111496,1.18630337715149,0.834647238254547,0.471203625202179,0.155353352427483,1.54915761947632,,,,,,,,,,
,,,,,,,0.242649093270302,,2017,Slovenia,62.0,5.75799989700317,5.84222516000271,5.67377463400364,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.0451289787888527,1.31331729888916,,,,,,,,,,
,,,,,,,0.126819714903831,,2017,Peru,63.0,5.71500015258789,5.81194677859545,5.61805352658033,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.0470490865409374,2.20726943016052,,,,,,,,,,
,,,,,,,0.360933750867844,,2017,Mauritius,64.0,5.62900018692017,5.72986219167709,5.52813818216324,1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,0.0421815551817417,1.6975839138031,,,,,,,,,,
,,,,,,,0.271254301071167,,2017,Cyprus,65.0,5.62099981307983,5.71469269931316,5.5273069268465,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.0412379764020443,1.62124919891357,,,,,,,,,,
,,,,,,,0.0988908112049103,,2017,Estonia,66.0,5.61100006103516,5.68813987419009,5.53386024788022,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.183248922228813,1.35750865936279,,,,,,,,,,
,,,,,,,0.15513750910759,,2017,Belarus,67.0,5.56899976730347,5.64611424401402,5.49188529059291,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.156313821673393,1.72323298454285,,,,,,,,,,
,,,,,,,0.152073666453362,,2017,Libya,68.0,5.52500009536743,5.67695380687714,5.37304638385773,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.0926102101802826,1.83501124382019,,,,,,,,,,
,,,,,,,0.0466930419206619,,2017,Turkey,69.0,5.5,5.59486496329308,5.40513503670692,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0996715798974037,1.87927794456482,,,,,,,,,,
,,,,,,,0.224150657653809,,2017,Paraguay,70.0,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.091065913438797,1.6853334903717,,,,,,,,,,
,,,,,,,0.374465793371201,,2017,"Hong Kong S.A.R., China",71.0,5.47200012207031,5.54959417313337,5.39440607100725,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.293933749198914,0.554633140563965,,,,,,,,,,
,,,,,,,0.193513423204422,,2017,Philippines,72.0,5.42999982833862,5.54533505424857,5.31466460242867,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.0993318930268288,1.97260475158691,,,,,,,,,,
,,,,,,,0.220125883817673,,2017,Serbia,73.0,5.39499998092651,5.49156965613365,5.29843030571938,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.0409037806093693,1.94708442687988,,,,,,,,,,
,,,,,,,0.172170460224152,,2017,Jordan,74.0,5.33599996566772,5.44841002240777,5.22358990892768,0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,0.11980327218771,1.79117655754089,,,,,,,,,,
,,,,,,,0.0784016624093056,,2017,Hungary,75.0,5.32399988174438,5.40303970918059,5.24496005430818,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,1.71645927429199,,,,,,,,,,
,,,,,,,0.233818337321281,,2017,Jamaica,76.0,5.31099987030029,5.58139872848988,5.04060101211071,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.0552677810192108,1.61232566833496,,,,,,,,,,
,,,,,,,0.248002976179123,,2017,Croatia,77.0,5.29300022125244,5.39177720457315,5.19422323793173,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.0431031100451946,1.85449242591858,,,,,,,,,,
,,,,,,,0.319931447505951,,2017,Kosovo,78.0,5.27899980545044,5.36484799548984,5.19315161541104,0.951484382152557,1.13785350322723,0.541452050209045,0.260287940502167,0.0574716180562973,2.01054072380066,,,,,,,,,,
,,,,,,,0.0288068410009146,,2017,China,79.0,5.27299976348877,5.31927808977663,5.2267214372009,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0227942746132612,1.76493859291077,,,,,,,,,,
,,,,,,,0.315446019172668,,2017,Pakistan,80.0,5.26900005340576,5.35998364135623,5.17801646545529,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,0.124348066747189,2.79248929023743,,,,,,,,,,
,,,,,,,0.611704587936401,,2017,Indonesia,81.0,5.26200008392334,5.35288859814405,5.17111156970263,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.0153171354904771,1.42947697639465,,,,,,,,,,
,,,,,,,0.0650196298956871,,2017,Venezuela,82.0,5.25,5.3700319455564,5.1299680544436,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0644911229610443,1.78946375846863,,,,,,,,,,
,,,,,,,0.197911024093628,,2017,Montenegro,83.0,5.23699998855591,5.34104444056749,5.13295553654432,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,0.0881741940975189,1.72919154167175,,,,,,,,,,
,,,,,,,0.0322099551558495,,2017,Morocco,84.0,5.2350001335144,5.31834096476436,5.15165930226445,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0877631828188896,2.45618939399719,,,,,,,,,,
,,,,,,,0.0452693402767181,,2017,Azerbaijan,85.0,5.23400020599365,5.29928653523326,5.16871387675405,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.180987507104874,1.76248168945312,,,,,,,,,,
,,,,,,,0.186967849731445,,2017,Dominican Republic,86.0,5.23000001907349,5.34906088516116,5.11093915298581,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.113945253193378,1.31946516036987,,,,,,,,,,
,,,,,,,0.0,,2017,Greece,87.0,5.22700023651123,5.3252461694181,5.12875430360436,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.04328977689147,1.74922156333923,,,,,,,,,,
,,,,,,,0.264450758695602,,2017,Lebanon,88.0,5.22499990463257,5.31888228848577,5.13111752077937,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.037513829767704,1.69507384300232,,,,,,,,,,
,,,,,,,0.0951027125120163,,2017,Portugal,89.0,5.19500017166138,5.28504173308611,5.10495861023665,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0158694516867399,1.10768270492554,,,,,,,,,,
,,,,,,,0.328867495059967,,2017,Bosnia and Herzegovina,90.0,5.18200016021729,5.27633568674326,5.08766463369131,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.0,1.89217257499695,,,,,,,,,,
,,,,,,,0.236188873648643,,2017,Honduras,91.0,5.18100023269653,5.30158279687166,5.0604176685214,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.0733454525470734,2.06581115722656,,,,,,,,,,
,,,,,,,0.25376096367836,,2017,Macedonia,92.0,5.17500019073486,5.27217263966799,5.07782774180174,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.0602777935564518,1.6174693107605,,,,,,,,,,
,,,,,,,0.291631311178207,,2017,Somalia,93.0,5.15100002288818,5.24248370990157,5.0595163358748,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.282410323619843,3.11748456954956,,,,,,,,,,
,,,,,,,0.234968051314354,,2017,Vietnam,94.0,5.07399988174438,5.14728076457977,5.000718998909,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.0876332372426987,1.46231865882874,,,,,,,,,,
,,,,,,,0.230947196483612,,2017,Nigeria,95.0,5.07399988174438,5.20950013548136,4.93849962800741,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.0261215660721064,2.36539053916931,,,,,,,,,,
,,,,,,,0.248997643589973,,2017,Tajikistan,96.0,5.04099988937378,5.11142559587956,4.970574182868,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,0.146377146244049,1.84904932975769,,,,,,,,,,
,,,,,,,0.474054545164108,,2017,Bhutan,97.0,5.01100015640259,5.07933456212282,4.94266575068235,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.173380389809608,1.14018440246582,,,,,,,,,,
,,,,,,,0.42858037352562,,2017,Kyrgyzstan,98.0,5.00400018692017,5.08991990312934,4.91808047071099,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,0.0394391790032387,1.53672313690186,,,,,,,,,,
,,,,,,,0.394096165895462,,2017,Nepal,99.0,4.96199989318848,5.06735607936978,4.85664370700717,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.0729755461215973,1.8912410736084,,,,,,,,,,
,,,,,,,0.338464230298996,,2017,Mongolia,100.0,4.95499992370605,5.0216795091331,4.88832033827901,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.0329022891819477,1.11129236221313,,,,,,,,,,
,,,,,,,0.139362379908562,,2017,South Africa,101.0,4.8289999961853,4.92943518772721,4.72856480464339,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.0725094974040985,1.51090860366821,,,,,,,,,,
,,,,,,,0.0496933571994305,,2017,Tunisia,102.0,4.80499982833862,4.88436700701714,4.72563264966011,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0867231488227844,1.89025115966797,,,,,,,,,,
,,,,,,,0.114173173904419,,2017,Palestinian Territories,103.0,4.77500009536743,4.88184834256768,4.66815184816718,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,0.0892826020717621,1.8788902759552,,,,,,,,,,
,,,,,,,0.128631442785263,,2017,Egypt,104.0,4.7350001335144,4.82513378962874,4.64486647740006,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.114381365478039,1.70216107368469,,,,,,,,,,
,,,,,,,0.113177694380283,,2017,Bulgaria,105.0,4.71400022506714,4.80369470641017,4.62430574372411,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.0110515309497714,0.996139287948608,,,,,,,,,,
,,,,,,,0.293040901422501,,2017,Sierra Leone,106.0,4.70900011062622,4.85064333498478,4.56735688626766,0.36842092871666,0.984136044979095,0.0055647538974881,0.318697690963745,0.0710951760411263,2.66845989227295,,,,,,,,,,
,,,,,,,0.236298456788063,,2017,Cameroon,107.0,4.69500017166138,4.79654085725546,4.5934594860673,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.0513066314160824,2.3336455821991,,,,,,,,,,
,,,,,,,0.387242913246155,,2017,Iran,108.0,4.69199991226196,4.79822470769286,4.58577511683106,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.048761073499918,1.49873495101929,,,,,,,,,,
,,,,,,,0.201312944293022,,2017,Albania,109.0,4.64400005340576,4.75246400639415,4.53553610041738,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.0398642159998417,1.49044156074524,,,,,,,,,,
,,,,,,,0.172255352139473,,2017,Bangladesh,110.0,4.60799980163574,4.68982165828347,4.52617794498801,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.123717859387398,1.97873616218567,,,,,,,,,,
,,,,,,,0.0771337449550629,,2017,Namibia,111.0,4.57399988174438,4.77035474091768,4.37764502257109,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0931469723582268,1.4818902015686,,,,,,,,,,
,,,,,,,0.444860309362411,,2017,Kenya,112.0,4.55299997329712,4.65569159060717,4.45030835598707,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.0646413192152977,1.6519021987915,,,,,,,,,,
,,,,,,,0.322228103876114,,2017,Mozambique,113.0,4.55000019073486,4.77410232633352,4.3258980551362,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.179436385631561,2.35565090179443,,,,,,,,,,
,,,,,,,0.838075160980225,,2017,Myanmar,114.0,4.54500007629395,4.61473994642496,4.47526020616293,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.188816204667091,1.11529040336609,,,,,,,,,,
,,,,,,,0.183468893170357,,2017,Senegal,115.0,4.53499984741211,4.6016037812829,4.46839591354132,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.115460447967052,1.78964614868164,,,,,,,,,,
,,,,,,,0.249580144882202,,2017,Zambia,116.0,4.51399993896484,4.64410550147295,4.38389437645674,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.0782135501503944,1.82670545578003,,,,,,,,,,
,,,,,,,0.19963726401329,,2017,Iraq,117.0,4.49700021743774,4.62259140968323,4.37140902519226,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.107215754687786,1.31890726089478,,,,,,,,,,
,,,,,,,0.0437853783369064,,2017,Gabon,118.0,4.46500015258789,4.5573617656529,4.37263853952289,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0760467872023582,1.32291626930237,,,,,,,,,,
,,,,,,,0.312650740146637,,2017,Ethiopia,119.0,4.46000003814697,4.54272867664695,4.377271399647,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.165455713868141,2.01574373245239,,,,,,,,,,
,,,,,,,0.490863561630249,,2017,Sri Lanka,120.0,4.44000005722046,4.55344719231129,4.32655292212963,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.0736539661884308,0.419389247894287,,,,,,,,,,
,,,,,,,0.0834880918264389,,2017,Armenia,121.0,4.37599992752075,4.46673461228609,4.28526524275541,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0266744215041399,1.5214991569519,,,,,,,,,,
,,,,,,,0.231538489460945,,2017,India,122.0,4.31500005722046,4.37152201749384,4.25847809694707,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.0922268852591515,1.5191171169281,,,,,,,,,,
,,,,,,,0.201870024204254,,2017,Mauritania,123.0,4.29199981689453,4.37716361626983,4.20683601751924,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.136957004666328,1.65163731575012,,,,,,,,,,
,,,,,,,0.120852127671242,,2017,Congo (Brazzaville),124.0,4.29099988937378,4.41005350500345,4.17194627374411,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.0796181336045265,1.72413563728333,,,,,,,,,,
,,,,,,,0.0540088154375553,,2017,Georgia,125.0,4.28599977493286,4.37493396580219,4.19706558406353,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.251666635274887,1.50013780593872,,,,,,,,,,
